Submercados,Data,ENA Mwmed,ENA Bruta,ENA Armaz,Valor EAR no dia ,Valor EAR no dia %,Desvio EAR,Variação %,Variação,Carga Programada,Carga Verificada
Norte,2020-06-23,8629,1.209,1.065,12654.1,"83,4",-16.69999999999891,-0.0019999999999998864,-0.19999999999998863,5384,5386
Nordeste,2020-06-23,3144.4,0.8059999999999999,0.797,46286.3,"89,7",-83.39999999999418,-0.0020000000000000282,-0.20000000000000284,9415,9545
Sul,2020-06-23,4372.1,0.738,0.685,6881.1,"34,6",55.5,0.0030000000000000426,0.30000000000000426,11322,11089
Sudeste,2020-06-23,22769.8,0.787,0.7709999999999999,108961.1,"53,8",-316.09999999999127,-0.0010000000000000141,-0.10000000000000142,33966,33736
Norte,2020-06-24,8338.7,1.1909999999999998,1.05,12632.6,"83,3",-21.5,-0.0010000000000000852,-0.10000000000000853,5407,5491
Nordeste,2020-06-24,2982.8,0.799,0.79,46170.7,"89,5",-115.60000000000582,-0.0020000000000000282,-0.20000000000000284,9329,9174
Sul,2020-06-24,3987.1,0.723,0.6709999999999999,6910.9,"34,7",29.799999999999272,0.0010000000000000141,0.10000000000000142,11273,11096
Sudeste,2020-06-24,21982.7,0.782,0.767,108588.3,"53,6",-372.8000000000029,-0.0019999999999999575,-0.19999999999999574,34381,33818
Norte,2020-06-25,8184.3,1.1740000000000002,1.037,12618.4,"83,2",-14.200000000000728,-0.0009999999999999432,-0.09999999999999432,5450,5559
Nordeste,2020-06-25,2918.2,0.792,0.7829999999999999,46103,"89,3",-67.69999999999709,-0.0020000000000000282,-0.20000000000000284,9575,9459
Sul,2020-06-25,4271.8,0.711,0.659,6990.6,"35,1",79.70000000000073,0.003999999999999986,0.3999999999999986,11137,11144
Sudeste,2020-06-25,20905.6,0.7759999999999999,0.762,108154,"53,4",-434.3000000000029,-0.0020000000000000282,-0.20000000000000284,34645,34484
Norte,2020-06-26,8125,1.158,1.023,12603.7,"83,1",-14.699999999998909,-0.0010000000000000852,-0.10000000000000853,5440,5510
Nordeste,2020-06-26,2911.9,0.7859999999999999,0.777,46012.5,"89,2",-90.5,-0.0009999999999999432,-0.09999999999999432,9524,9321
Sul,2020-06-26,4596.2,0.7,0.65,7046,"35,4",55.399999999999636,0.0029999999999999714,0.29999999999999716,11434,10800
Sudeste,2020-06-26,21341.4,0.772,0.758,107913.4,"53,2",-240.60000000000582,-0.0019999999999999575,-0.19999999999999574,33767,34751
Norte,2020-06-27,8071.3,1.143,1.01,12621.4,"83,2",17.69999999999891,0.0010000000000000852,0.10000000000000853,5286,5307
Nordeste,2020-06-27,2911.3,0.78,0.772,46002.2,"89,1",-10.30000000000291,-0.0010000000000000852,-0.10000000000000853,9023,9217
Sul,2020-06-27,4816.4,0.691,0.642,7145.7,"35,9",99.69999999999982,0.005,0.5,9680,9450
Sudeste,2020-06-27,24283.6,0.7709999999999999,0.757,107754.7,"53,2",-158.6999999999971,0,0,31906,32293
Norte,2020-06-28,7755.8,1.128,0.997,12632.2,"83,3",10.800000000001091,0.0009999999999999432,0.09999999999999432,5118,5102
Nordeste,2020-06-28,2900,0.775,0.7659999999999999,45976.4,"89,1",-25.799999999995634,0,0,8579,8624
Sul,2020-06-28,4962.4,0.684,0.634,7249.9,"36,4",104.19999999999982,0.005,0.5,7946,8232
Sudeste,2020-06-28,26249.4,0.772,0.759,107862.3,"53,2",107.60000000000582,0,0,28384,28900
Norte,2020-06-29,7623.6,1.113,0.9840000000000001,12636.9,"83,3",4.699999999998909,0,0,5454,5407
Nordeste,2020-06-29,2961.4,0.77,0.762,45810.9,"88,8",-165.5,-0.0029999999999999714,-0.29999999999999716,9356,9414
Sul,2020-06-29,5049.6,0.677,0.628,7332.8,"36,9",82.90000000000055,0.005,0.5,10840,10952
Sudeste,2020-06-29,26418.1,0.773,0.76,107641,"53,1",-221.3000000000029,-0.0010000000000000141,-0.10000000000000142,32989,32944
Norte,2020-06-30,7149.2,1.0979999999999999,0.971,12648.4,"83,4",11.5,0.0010000000000000852,0.10000000000000853,5520,5309
Nordeste,2020-06-30,2974.4,0.7659999999999999,0.758,45717.3,"88,6",-93.59999999999854,-0.0020000000000000282,-0.20000000000000284,9616,9622
Sul,2020-06-30,9531.1,0.685,0.634,7530,"37,8",197.19999999999982,0.008999999999999985,0.8999999999999986,11400,10148
Sudeste,2020-06-30,26522.2,0.774,0.7609999999999999,107442.7,"53,0",-198.3000000000029,-0.0010000000000000141,-0.10000000000000142,33932,33715
Norte,2020-07-01,7002.6,1.325,1.187,12636.2,"83,3",-12.199999999998909,-0.0010000000000000852,-0.10000000000000853,5391,5396
Nordeste,2020-07-01,2971.8,0.7759999999999999,0.77,45576.7,"88,3",-140.60000000000582,-0.0029999999999999714,-0.29999999999999716,9748,9778
Sul,2020-07-01,13863.5,1.262,1.0390000000000001,7817.3,"39,3",287.3000000000002,0.015,1.5,11239,9779
Sudeste,2020-07-01,26010.3,1.011,0.995,107043.1,"52,8",-399.59999999999127,-0.0020000000000000282,-0.20000000000000284,34169,33934
Norte,2020-07-02,6971.6,1.3219999999999998,1.185,12620.5,"83,2",-15.700000000000728,-0.0009999999999999432,-0.09999999999999432,5390,5465
Nordeste,2020-07-02,2989.5,0.779,0.775,45436.8,"88,1",-139.89999999999418,-0.0020000000000000282,-0.20000000000000284,9688,9743
Sul,2020-07-02,13191.2,1.232,1.053,8048.9,"40,5",231.59999999999945,0.012000000000000028,1.2000000000000028,10305,10738
Sudeste,2020-07-02,25977.9,1.01,0.996,106661.6,"52,6",-381.5,-0.0019999999999999575,-0.19999999999999574,33482,33609
Norte,2020-07-03,6612.8,1.298,1.162,12625.3,"83,3",4.799999999999272,0.0009999999999999432,0.09999999999999432,5408,5438
Nordeste,2020-07-03,2967.8,0.778,0.774,45364.6,"87,9",-72.20000000000437,-0.0019999999999998864,-0.19999999999998863,9562,9740
Sul,2020-07-03,10918.7,1.153,1.005,8214.1,"41,3",165.20000000000073,0.007999999999999972,0.7999999999999972,11034,10836
Sudeste,2020-07-03,25585.3,1.005,0.991,106371.9,"52,5",-289.70000000001164,-0.0010000000000000141,-0.10000000000000142,33462,33237
Norte,2020-07-04,6487.6,1.28,1.1440000000000001,12629.2,"83,3",3.900000000001455,0,0,5308,5290
Nordeste,2020-07-04,2973.4,0.777,0.773,45280.3,"87,7",-84.29999999999563,-0.0020000000000000282,-0.20000000000000284,9425,9316
Sul,2020-07-04,9028.5,1.07,0.9440000000000001,8360.6,"42,0",146.5,0.007000000000000029,0.7000000000000028,9725,9266
Sudeste,2020-07-04,25602.9,1.002,0.99,106376.8,"52,5",4.900000000008731,0,0,31159,30865
Norte,2020-07-05,6190.5,1.258,1.124,12642,"83,4",12.799999999999272,0.0010000000000000852,0.10000000000000853,5118,5103
Nordeste,2020-07-05,2997.2,0.779,0.775,45099.1,"87,4",-181.20000000000437,-0.0029999999999999714,-0.29999999999999716,8831,8771
Sul,2020-07-05,8177.2,1.005,0.8959999999999999,8508.3,"42,8",147.6999999999989,0.007999999999999972,0.7999999999999972,8222,8131
Sudeste,2020-07-05,24499.4,0.992,0.981,106280.8,"52,4",-96,-0.0010000000000000141,-0.10000000000000142,28438,28482
Norte,2020-07-06,6213.9,1.245,1.111,12648.8,"83,4",6.799999999999272,0,0,5409,5450
Nordeste,2020-07-06,2936,0.777,0.773,45029.5,"87,3",-69.59999999999854,-0.0010000000000000852,-0.10000000000000853,9588,9462
Sul,2020-07-06,10468.8,0.996,0.878,8670,"43,6",161.70000000000073,0.008000000000000042,0.8000000000000043,10878,10761
Sudeste,2020-07-06,24167.4,0.983,0.972,105937.1,"52,3",-343.6999999999971,-0.0010000000000000141,-0.10000000000000142,33489,33569
Norte,2020-07-07,6192.3,1.234,1.101,12636.7,"83,3",-12.099999999998545,-0.0010000000000000852,-0.10000000000000853,5370,5440
Nordeste,2020-07-07,2911.3,0.774,0.77,44800.5,"86,8",-229,-0.005,-0.5,9721,9603
Sul,2020-07-07,17675.4,1.084,0.943,9036.1,"45,4",366.10000000000036,0.01799999999999997,1.7999999999999972,11185,11231
Sudeste,2020-07-07,23301.8,0.972,0.96,105625.7,"52,1",-311.40000000000873,-0.0019999999999999575,-0.19999999999999574,34255,34676
Norte,2020-07-08,6115.4,1.224,1.093,12636.7,"83,3",0,0,0,5417,5426
Nordeste,2020-07-08,2866.6,0.7709999999999999,0.767,44726.1,"86,7",-74.40000000000146,-0.0009999999999999432,-0.09999999999999432,9634,9699
Sul,2020-07-08,36598.9,1.365,1.131,9870.2,"49,6",834.1000000000004,0.04200000000000003,4.200000000000003,11332,11165
Sudeste,2020-07-08,22383.6,0.9590000000000001,0.946,105212.5,"51,9",-413.1999999999971,-0.0020000000000000282,-0.20000000000000284,35176,34846
Norte,2020-07-09,5803.4,1.21,1.079,12623.4,"83,2",-13.300000000001091,-0.0009999999999999432,-0.09999999999999432,5440,5478
Nordeste,2020-07-09,2857.2,0.768,0.764,44646.9,"86,5",-79.19999999999709,-0.0020000000000000282,-0.20000000000000284,9743,9693
Sul,2020-07-09,34921,1.567,1.301,10439.9,"52,5",569.6999999999989,0.028999999999999984,2.8999999999999986,11314,10900
Sudeste,2020-07-09,22100.9,0.948,0.935,104941.9,"51,8",-270.6000000000058,-0.0010000000000000141,-0.10000000000000142,35056,34765
Norte,2020-07-10,5710.1,1.197,1.067,12624,"83,2",0.6000000000003638,0,0,5417,5462
Nordeste,2020-07-10,2855.9,0.7659999999999999,0.762,44528,"86,3",-118.90000000000146,-0.0020000000000000282,-0.20000000000000284,9686,9756
Sul,2020-07-10,25652.2,1.6440000000000001,1.3840000000000001,10763.7,"54,1",323.8000000000011,0.016000000000000014,1.6000000000000014,10926,10760
Sudeste,2020-07-10,21496.1,0.937,0.9229999999999999,104678.3,"51,6",-263.59999999999127,-0.0019999999999999575,-0.19999999999999574,34201,33947
Norte,2020-07-11,5444.6,1.182,1.053,12619.6,"83,2",-4.399999999999636,0,0,5286,5210
Nordeste,2020-07-11,2805.2,0.763,0.758,44465,"86,2",-63,-0.0009999999999999432,-0.09999999999999432,9401,9323
Sul,2020-07-11,18866.7,1.65,1.401,11073.9,"55,7",310.1999999999989,0.016000000000000014,1.6000000000000014,9732,9432
Sudeste,2020-07-11,20708.7,0.925,0.912,104435.1,"51,5",-243.1999999999971,-0.0010000000000000141,-0.10000000000000142,32041,31853
Norte,2020-07-12,5487.4,1.17,1.043,12623.6,"83,2",4,0,0,5076,5061
Nordeste,2020-07-12,2829.1,0.7609999999999999,0.757,44295.8,"85,8",-169.1999999999971,-0.0040000000000000565,-0.4000000000000057,8801,8694
Sul,2020-07-12,21398,1.675,1.399,11476,"57,7",402.10000000000036,0.02,2,8172,8141
Sudeste,2020-07-12,20008.6,0.9129999999999999,0.9,104219.4,"51,4",-215.70000000001164,-0.0010000000000000141,-0.10000000000000142,29370,29535
Norte,2020-07-13,5323.5,1.158,1.032,12626.4,"83,3",2.7999999999992724,0.0009999999999999432,0.09999999999999432,5441,5506
Nordeste,2020-07-13,2783.9,0.759,0.754,44185.3,"85,6",-110.5,-0.0020000000000000282,-0.20000000000000284,9511,9530
Sul,2020-07-13,21258.9,1.695,1.402,11753,"59,1",277,0.013999999999999986,1.3999999999999986,10804,10759
Sudeste,2020-07-13,20231.5,0.903,0.8909999999999999,103870,"51,2",-349.3999999999942,-0.0019999999999999575,-0.19999999999999574,34309,34647
Norte,2020-07-14,5200.8,1.145,1.021,12601.7,"83,1",-24.69999999999891,-0.0020000000000000282,-0.20000000000000284,5388,5502
Nordeste,2020-07-14,2756.1,0.7559999999999999,0.7509999999999999,44117.3,"85,5",-68,-0.0009999999999999432,-0.09999999999999432,9635,9773
Sul,2020-07-14,16712.3,1.683,1.3980000000000001,11887.9,"59,7",134.89999999999964,0.006000000000000014,0.6000000000000014,11352,11093
Sudeste,2020-07-14,21479.8,0.898,0.8859999999999999,103635.5,"51,1",-234.5,-0.0010000000000000141,-0.10000000000000142,35234,35398
Norte,2020-07-15,4996.6,1.1320000000000001,1.0090000000000001,12587,"83,0",-14.700000000000728,-0.0009999999999999432,-0.09999999999999432,5457,5536
Nordeste,2020-07-15,2767.6,0.754,0.7490000000000001,43920.9,"85,1",-196.40000000000146,-0.0040000000000000565,-0.4000000000000057,9758,9888
Sul,2020-07-15,13074.5,1.65,1.3769999999999998,11919.4,"59,9",31.5,0.0019999999999999575,0.19999999999999574,11327,11181
Sudeste,2020-07-15,21854.4,0.895,0.883,103375.5,"51,0",-260,-0.0010000000000000141,-0.10000000000000142,35177,34811
Norte,2020-07-16,4841.9,1.1179999999999999,0.9990000000000001,12589.5,"83,0",2.5,0,0,5529,5515
Nordeste,2020-07-16,2734.2,0.7509999999999999,0.747,43876.3,"85,0",-44.599999999998545,-0.0009999999999999432,-0.09999999999999432,9817,9786
Sul,2020-07-16,11470.7,1.6119999999999999,1.3519999999999999,11927.8,"59,9",8.399999999999636,0,0,11495,11367
Sudeste,2020-07-16,21213.8,0.89,0.878,103208.6,"50,9",-166.89999999999418,-0.0010000000000000141,-0.10000000000000142,34953,34359
Norte,2020-07-17,4619.4,1.104,0.987,12565.5,"82,9",-24,-0.0009999999999999432,-0.09999999999999432,5500,5513
Nordeste,2020-07-17,2689.6,0.748,0.7440000000000001,43705.1,"84,7",-171.20000000000437,-0.0029999999999999714,-0.29999999999999716,9826,9626
Sul,2020-07-17,14844.8,1.597,1.3430000000000002,12086.5,"60,7",158.70000000000073,0.008000000000000042,0.8000000000000043,11108,11079
Sudeste,2020-07-17,20250.4,0.884,0.872,102899.8,"50,8",-308.8000000000029,-0.0010000000000000141,-0.10000000000000142,34708,34590
Norte,2020-07-18,4505.7,1.09,0.975,12554.9,"82,8",-10.600000000000364,-0.0010000000000000852,-0.10000000000000853,5304,5374
Nordeste,2020-07-18,2595,0.7440000000000001,0.74,43593.4,"84,5",-111.69999999999709,-0.0020000000000000282,-0.20000000000000284,9272,9267
Sul,2020-07-18,15136.6,1.585,1.337,12288.1,"61,8",201.60000000000036,0.010999999999999944,1.0999999999999943,9667,9428
Sudeste,2020-07-18,19138,0.8759999999999999,0.865,102655,"50,6",-244.8000000000029,-0.0019999999999999575,-0.19999999999999574,31964,32349
Norte,2020-07-19,4392.2,1.0759999999999998,0.965,12541.7,"82,7",-13.199999999998909,-0.0009999999999999432,-0.09999999999999432,5112,5117
Nordeste,2020-07-19,2525.6,0.74,0.735,43513.6,"84,3",-79.80000000000291,-0.0020000000000000282,-0.20000000000000284,8718,8676
Sul,2020-07-19,12938,1.5630000000000002,1.3230000000000002,12500.2,"62,8",212.10000000000036,0.01,1,8363,8050
Sudeste,2020-07-19,18391.8,0.868,0.857,102433.2,"50,5",-221.8000000000029,-0.0010000000000000141,-0.10000000000000142,29146,29115
Norte,2020-07-20,4477.6,1.065,0.956,12522.9,"82,6",-18.80000000000109,-0.0010000000000000852,-0.10000000000000853,5440,5469
Nordeste,2020-07-20,2622.9,0.737,0.733,43373.8,"84,1",-139.79999999999563,-0.0020000000000000282,-0.20000000000000284,9510,9531
Sul,2020-07-20,10941.5,1.535,1.3030000000000002,12536.9,"63,0",36.69999999999891,0.0020000000000000282,0.20000000000000284,11102,10606
Sudeste,2020-07-20,18383.2,0.86,0.8490000000000001,102025.3,"50,3",-407.8999999999942,-0.0020000000000000282,-0.20000000000000284,34101,33750
Norte,2020-07-21,4437.1,1.054,0.9470000000000001,12502.4,"82,4",-20.5,-0.0019999999999998864,-0.19999999999998863,5461,5416
Nordeste,2020-07-21,2598.4,0.7340000000000001,0.73,43340.2,"84,0",-33.60000000000582,-0.0009999999999999432,-0.09999999999999432,9789,9642
Sul,2020-07-21,9413,1.5030000000000001,1.2790000000000001,12456.5,"62,6",-80.39999999999964,-0.003999999999999986,-0.3999999999999986,11356,11081
Sudeste,2020-07-21,18384,0.853,0.8420000000000001,101643.2,"50,1",-382.1000000000058,-0.0019999999999999575,-0.19999999999999574,35057,35044
Norte,2020-07-22,4319.1,1.043,0.938,12480.1,"82,3",-22.299999999999272,-0.0010000000000000852,-0.10000000000000853,5433,5404
Nordeste,2020-07-22,2595,0.732,0.727,43330.7,"84,0",-9.5,0,0,9759,9619
Sul,2020-07-22,8237.9,1.4680000000000002,1.253,12360.5,"62,1",-96,-0.005,-0.5,11330,11195
Sudeste,2020-07-22,18566.4,0.847,0.836,101351.7,"50,0",-291.5,-0.0010000000000000141,-0.10000000000000142,35416,35281
